index,Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Tot_Mdcr_Stdzd_Pymt_PC,Tot_Mdcr_Pymt_PC,Hosp_Readmsn_Rate,ER_Visits_Per_1000_Benes
607,State,Arizona,4.0,All,Sex,Female,Atrial Fibrillation,0.069,,,,
610,State,Arizona,4.0,All,Sex,Male,Atrial Fibrillation,0.0943,,,,
620,State,Arizona,4.0,All,Sex,Female,Autism Spectrum Disorders,0.0005,,,,
623,State,Arizona,4.0,All,Sex,Male,Autism Spectrum Disorders,0.0015,,,,
633,State,Arizona,4.0,All,Sex,Female,COPD,0.0947,,,,
636,State,Arizona,4.0,All,Sex,Male,COPD,0.0945,,,,
646,State,Arizona,4.0,All,Sex,Female,Cancer,0.0787,,,,
649,State,Arizona,4.0,All,Sex,Male,Cancer,0.0972,,,,
659,State,Arizona,4.0,All,Sex,Female,Chronic Kidney Disease,0.2268,,,,
662,State,Arizona,4.0,All,Sex,Male,Chronic Kidney Disease,0.2567,,,,
672,State,Arizona,4.0,All,Sex,Female,Depression,0.1881,,,,
675,State,Arizona,4.0,All,Sex,Male,Depression,0.1038,,,,
685,State,Arizona,4.0,All,Sex,Female,Diabetes,0.2036,,,,
688,State,Arizona,4.0,All,Sex,Male,Diabetes,0.2543,,,,
698,State,Arizona,4.0,All,Sex,Female,Drug/Substance Abuse,0.0289,,,,
701,State,Arizona,4.0,All,Sex,Male,Drug/Substance Abuse,0.0302,,,,
711,State,Arizona,4.0,All,Sex,Female,HIV/AIDS,0.0004,,,,
714,State,Arizona,4.0,All,Sex,Male,HIV/AIDS,0.0031,,,,
724,State,Arizona,4.0,All,Sex,Female,Heart Failure,0.0917,,,,
727,State,Arizona,4.0,All,Sex,Male,Heart Failure,0.1163,,,,
737,State,Arizona,4.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0036,,,,
740,State,Arizona,4.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0064,,,,
750,State,Arizona,4.0,All,Sex,Female,Hyperlipidemia,0.47,,,,
753,State,Arizona,4.0,All,Sex,Male,Hyperlipidemia,0.4769,,,,
763,State,Arizona,4.0,All,Sex,Female,Hypertension,0.522,,,,
766,State,Arizona,4.0,All,Sex,Male,Hypertension,0.5288,,,,
776,State,Arizona,4.0,All,Sex,Female,Ischemic Heart Disease,0.1875,,,,
779,State,Arizona,4.0,All,Sex,Male,Ischemic Heart Disease,0.3069,,,,
789,State,Arizona,4.0,All,Sex,Female,Osteoporosis,0.1244,,,,
792,State,Arizona,4.0,All,Sex,Male,Osteoporosis,0.0167,,,,
802,State,Arizona,4.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0123,,,,
805,State,Arizona,4.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0145,,,,
815,State,Arizona,4.0,All,Sex,Female,Stroke,0.0328,,,,
818,State,Arizona,4.0,All,Sex,Male,Stroke,0.0348,,,,
828,State,Arkansas,5.0,All,Sex,Female,Alcohol Abuse,0.0084,,,,
831,State,Arkansas,5.0,All,Sex,Male,Alcohol Abuse,0.0228,,,,
841,State,Arkansas,5.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.1325,,,,
844,State,Arkansas,5.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0952,,,,
854,State,Arkansas,5.0,All,Sex,Female,Arthritis,0.3913,,,,
857,State,Arkansas,5.0,All,Sex,Male,Arthritis,0.2701,,,,
867,State,Arkansas,5.0,All,Sex,Female,Asthma,0.0508,,,,
870,State,Arkansas,5.0,All,Sex,Male,Asthma,0.0241,,,,
880,State,Arkansas,5.0,All,Sex,Female,Atrial Fibrillation,0.0791,,,,
883,State,Arkansas,5.0,All,Sex,Male,Atrial Fibrillation,0.0914,,,,
893,State,Arkansas,5.0,All,Sex,Female,Autism Spectrum Disorders,0.0007,,,,
896,State,Arkansas,5.0,All,Sex,Male,Autism Spectrum Disorders,0.0026,,,,
906,State,Arkansas,5.0,All,Sex,Female,COPD,0.1278,,,,
909,State,Arkansas,5.0,All,Sex,Male,COPD,0.1216,,,,
919,State,Arkansas,5.0,All,Sex,Female,Cancer,0.0723,,,,
922,State,Arkansas,5.0,All,Sex,Male,Cancer,0.0846,,,,
932,State,Arkansas,5.0,All,Sex,Female,Chronic Kidney Disease,0.2071,,,,
935,State,Arkansas,5.0,All,Sex,Male,Chronic Kidney Disease,0.2302,,,,
945,State,Arkansas,5.0,All,Sex,Female,Depression,0.2369,,,,
948,State,Arkansas,5.0,All,Sex,Male,Depression,0.1272,,,,
958,State,Arkansas,5.0,All,Sex,Female,Diabetes,0.2413,,,,
961,State,Arkansas,5.0,All,Sex,Male,Diabetes,0.2766,,,,
971,State,Arkansas,5.0,All,Sex,Female,Drug/Substance Abuse,0.039,,,,
974,State,Arkansas,5.0,All,Sex,Male,Drug/Substance Abuse,0.0375,,,,
984,State,Arkansas,5.0,All,Sex,Female,HIV/AIDS,0.0009,,,,
987,State,Arkansas,5.0,All,Sex,Male,HIV/AIDS,0.0029,,,,
997,State,Arkansas,5.0,All,Sex,Female,Heart Failure,0.1446,,,,
1000,State,Arkansas,5.0,All,Sex,Male,Heart Failure,0.1545,,,,
1010,State,Arkansas,5.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0047,,,,
1013,State,Arkansas,5.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0073,,,,
1023,State,Arkansas,5.0,All,Sex,Female,Hyperlipidemia,0.4255,,,,
1026,State,Arkansas,5.0,All,Sex,Male,Hyperlipidemia,0.417,,,,
1036,State,Arkansas,5.0,All,Sex,Female,Hypertension,0.6145,,,,
1039,State,Arkansas,5.0,All,Sex,Male,Hypertension,0.5696,,,,
1049,State,Arkansas,5.0,All,Sex,Female,Ischemic Heart Disease,0.2668,,,,
1052,State,Arkansas,5.0,All,Sex,Male,Ischemic Heart Disease,0.3612,,,,
1062,State,Arkansas,5.0,All,Sex,Female,Osteoporosis,0.1,,,,
1065,State,Arkansas,5.0,All,Sex,Male,Osteoporosis,0.0112,,,,
1075,State,Arkansas,5.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0267,,,,
1078,State,Arkansas,5.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0284,,,,
1088,State,Arkansas,5.0,All,Sex,Female,Stroke,0.0396,,,,
1091,State,Arkansas,5.0,All,Sex,Male,Stroke,0.037,,,,
1101,State,California,6.0,All,Sex,Female,Alcohol Abuse,0.0131,,,,
1104,State,California,6.0,All,Sex,Male,Alcohol Abuse,0.0315,,,,
1114,State,California,6.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.1184,,,,
1117,State,California,6.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0887,,,,
1127,State,California,6.0,All,Sex,Female,Arthritis,0.3655,,,,
1130,State,California,6.0,All,Sex,Male,Arthritis,0.2488,,,,
1140,State,California,6.0,All,Sex,Female,Asthma,0.066,,,,
1143,State,California,6.0,All,Sex,Male,Asthma,0.0377,,,,
1153,State,California,6.0,All,Sex,Female,Atrial Fibrillation,0.0666,,,,
1156,State,California,6.0,All,Sex,Male,Atrial Fibrillation,0.0846,,,,
1166,State,California,6.0,All,Sex,Female,Autism Spectrum Disorders,0.0011,,,,
1169,State,California,6.0,All,Sex,Male,Autism Spectrum Disorders,0.0035,,,,
1179,State,California,6.0,All,Sex,Female,COPD,0.0946,,,,
1182,State,California,6.0,All,Sex,Male,COPD,0.096,,,,
1192,State,California,6.0,All,Sex,Female,Cancer,0.0744,,,,
1195,State,California,6.0,All,Sex,Male,Cancer,0.083,,,,
1205,State,California,6.0,All,Sex,Female,Chronic Kidney Disease,0.2276,,,,
1208,State,California,6.0,All,Sex,Male,Chronic Kidney Disease,0.2607,,,,
1218,State,California,6.0,All,Sex,Female,Depression,0.1976,,,,
1221,State,California,6.0,All,Sex,Male,Depression,0.1207,,,,
1231,State,California,6.0,All,Sex,Female,Diabetes,0.2599,,,,
1234,State,California,6.0,All,Sex,Male,Diabetes,0.2861,,,,
1244,State,California,6.0,All,Sex,Female,Drug/Substance Abuse,0.0347,,,,
1247,State,California,6.0,All,Sex,Male,Drug/Substance Abuse,0.0411,,,,
1257,State,California,6.0,All,Sex,Female,HIV/AIDS,0.0013,,,,
1260,State,California,6.0,All,Sex,Male,HIV/AIDS,0.0094,,,,
1270,State,California,6.0,All,Sex,Female,Heart Failure,0.1328,,,,
1273,State,California,6.0,All,Sex,Male,Heart Failure,0.1465,,,,
1283,State,California,6.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0113,,,,
1286,State,California,6.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0178,,,,
1296,State,California,6.0,All,Sex,Female,Hyperlipidemia,0.4554,,,,
1299,State,California,6.0,All,Sex,Male,Hyperlipidemia,0.45,,,,
1309,State,California,6.0,All,Sex,Female,Hypertension,0.5379,,,,
1312,State,California,6.0,All,Sex,Male,Hypertension,0.5198,,,,
1322,State,California,6.0,All,Sex,Female,Ischemic Heart Disease,0.2103,,,,
1325,State,California,6.0,All,Sex,Male,Ischemic Heart Disease,0.2902,,,,
1335,State,California,6.0,All,Sex,Female,Osteoporosis,0.1267,,,,
1338,State,California,6.0,All,Sex,Male,Osteoporosis,0.0218,,,,
1348,State,California,6.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0311,,,,
1351,State,California,6.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0387,,,,
1361,State,California,6.0,All,Sex,Female,Stroke,0.0339,,,,
1364,State,California,6.0,All,Sex,Male,Stroke,0.0369,,,,
1374,State,Colorado,8.0,All,Sex,Female,Alcohol Abuse,0.0134,,,,
1377,State,Colorado,8.0,All,Sex,Male,Alcohol Abuse,0.0298,,,,
1387,State,Colorado,8.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.0979,,,,
1390,State,Colorado,8.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0741,,,,
1400,State,Colorado,8.0,All,Sex,Female,Arthritis,0.3543,,,,
1403,State,Colorado,8.0,All,Sex,Male,Arthritis,0.254,,,,
1413,State,Colorado,8.0,All,Sex,Female,Asthma,0.0573,,,,
1416,State,Colorado,8.0,All,Sex,Male,Asthma,0.0307,,,,
1426,State,Colorado,8.0,All,Sex,Female,Atrial Fibrillation,0.0585,,,,
1429,State,Colorado,8.0,All,Sex,Male,Atrial Fibrillation,0.0746,,,,
1439,State,Colorado,8.0,All,Sex,Female,Autism Spectrum Disorders,0.001,,,,
1442,State,Colorado,8.0,All,Sex,Male,Autism Spectrum Disorders,0.0029,,,,
1452,State,Colorado,8.0,All,Sex,Female,COPD,0.0949,,,,
1455,State,Colorado,8.0,All,Sex,Male,COPD,0.0924,,,,
1465,State,Colorado,8.0,All,Sex,Female,Cancer,0.0692,,,,
1468,State,Colorado,8.0,All,Sex,Male,Cancer,0.0795,,,,
1478,State,Colorado,8.0,All,Sex,Female,Chronic Kidney Disease,0.1793,,,,
1481,State,Colorado,8.0,All,Sex,Male,Chronic Kidney Disease,0.2053,,,,
1491,State,Colorado,8.0,All,Sex,Female,Depression,0.208,,,,
1494,State,Colorado,8.0,All,Sex,Male,Depression,0.1166,,,,
1504,State,Colorado,8.0,All,Sex,Female,Diabetes,0.1694,,,,
1507,State,Colorado,8.0,All,Sex,Male,Diabetes,0.1982,,,,
1517,State,Colorado,8.0,All,Sex,Female,Drug/Substance Abuse,0.0344,,,,
1520,State,Colorado,8.0,All,Sex,Male,Drug/Substance Abuse,0.0368,,,,
1530,State,Colorado,8.0,All,Sex,Female,HIV/AIDS,0.0007,,,,
1533,State,Colorado,8.0,All,Sex,Male,HIV/AIDS,0.0037,,,,
1543,State,Colorado,8.0,All,Sex,Female,Heart Failure,0.0984,,,,
1546,State,Colorado,8.0,All,Sex,Male,Heart Failure,0.1077,,,,
1556,State,Colorado,8.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0047,,,,
1559,State,Colorado,8.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0081,,,,
1569,State,Colorado,8.0,All,Sex,Female,Hyperlipidemia,0.3194,,,,
1572,State,Colorado,8.0,All,Sex,Male,Hyperlipidemia,0.3442,,,,
1582,State,Colorado,8.0,All,Sex,Female,Hypertension,0.4292,,,,
1585,State,Colorado,8.0,All,Sex,Male,Hypertension,0.418,,,,
1595,State,Colorado,8.0,All,Sex,Female,Ischemic Heart Disease,0.1503,,,,
1598,State,Colorado,8.0,All,Sex,Male,Ischemic Heart Disease,0.2525,,,,
1608,State,Colorado,8.0,All,Sex,Female,Osteoporosis,0.104,,,,
1611,State,Colorado,8.0,All,Sex,Male,Osteoporosis,0.0149,,,,
1621,State,Colorado,8.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0168,,,,
1624,State,Colorado,8.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0225,,,,
1634,State,Colorado,8.0,All,Sex,Female,Stroke,0.0265,,,,
1637,State,Colorado,8.0,All,Sex,Male,Stroke,0.0272,,,,
1647,State,Connecticut,9.0,All,Sex,Female,Alcohol Abuse,0.0174,,,,
1650,State,Connecticut,9.0,All,Sex,Male,Alcohol Abuse,0.0436,,,,
1660,State,Connecticut,9.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.1438,,,,
1663,State,Connecticut,9.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.1099,,,,
1673,State,Connecticut,9.0,All,Sex,Female,Arthritis,0.3688,,,,
1676,State,Connecticut,9.0,All,Sex,Male,Arthritis,0.2572,,,,
1686,State,Connecticut,9.0,All,Sex,Female,Asthma,0.0797,,,,
1689,State,Connecticut,9.0,All,Sex,Male,Asthma,0.0455,,,,
1699,State,Connecticut,9.0,All,Sex,Female,Atrial Fibrillation,0.0942,,,,
1702,State,Connecticut,9.0,All,Sex,Male,Atrial Fibrillation,0.1236,,,,
1712,State,Connecticut,9.0,All,Sex,Female,Autism Spectrum Disorders,0.0022,,,,
1715,State,Connecticut,9.0,All,Sex,Male,Autism Spectrum Disorders,0.008,,,,
1725,State,Connecticut,9.0,All,Sex,Female,COPD,0.1143,,,,
1728,State,Connecticut,9.0,All,Sex,Male,COPD,0.1123,,,,
1738,State,Connecticut,9.0,All,Sex,Female,Cancer,0.0909,,,,
1741,State,Connecticut,9.0,All,Sex,Male,Cancer,0.1024,,,,
1751,State,Connecticut,9.0,All,Sex,Female,Chronic Kidney Disease,0.2144,,,,
1754,State,Connecticut,9.0,All,Sex,Male,Chronic Kidney Disease,0.265,,,,
1764,State,Connecticut,9.0,All,Sex,Female,Depression,0.239,,,,
1767,State,Connecticut,9.0,All,Sex,Male,Depression,0.1588,,,,
1777,State,Connecticut,9.0,All,Sex,Female,Diabetes,0.2298,,,,
1780,State,Connecticut,9.0,All,Sex,Male,Diabetes,0.2769,,,,
1790,State,Connecticut,9.0,All,Sex,Female,Drug/Substance Abuse,0.0325,,,,
1793,State,Connecticut,9.0,All,Sex,Male,Drug/Substance Abuse,0.0436,,,,
1803,State,Connecticut,9.0,All,Sex,Female,HIV/AIDS,0.0027,,,,
1806,State,Connecticut,9.0,All,Sex,Male,HIV/AIDS,0.007,,,,
1816,State,Connecticut,9.0,All,Sex,Female,Heart Failure,0.1389,,,,
1819,State,Connecticut,9.0,All,Sex,Male,Heart Failure,0.1532,,,,
1829,State,Connecticut,9.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0053,,,,
1832,State,Connecticut,9.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0112,,,,
1842,State,Connecticut,9.0,All,Sex,Female,Hyperlipidemia,0.5017,,,,
1845,State,Connecticut,9.0,All,Sex,Male,Hyperlipidemia,0.514,,,,
1855,State,Connecticut,9.0,All,Sex,Female,Hypertension,0.5936,,,,
1858,State,Connecticut,9.0,All,Sex,Male,Hypertension,0.5854,,,,
1868,State,Connecticut,9.0,All,Sex,Female,Ischemic Heart Disease,0.2026,,,,
1871,State,Connecticut,9.0,All,Sex,Male,Ischemic Heart Disease,0.3169,,,,
1881,State,Connecticut,9.0,All,Sex,Female,Osteoporosis,0.1225,,,,
1884,State,Connecticut,9.0,All,Sex,Male,Osteoporosis,0.0176,,,,
1894,State,Connecticut,9.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0397,,,,
1897,State,Connecticut,9.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0499,,,,
1907,State,Connecticut,9.0,All,Sex,Female,Stroke,0.0379,,,,
1910,State,Connecticut,9.0,All,Sex,Male,Stroke,0.0396,,,,
1920,State,Delaware,10.0,All,Sex,Female,Alcohol Abuse,0.0123,,,,
1923,State,Delaware,10.0,All,Sex,Male,Alcohol Abuse,0.0319,,,,
1933,State,Delaware,10.0,All,Sex,Female,Alzheimer's Disease/Dementia,0.1016,,,,
1936,State,Delaware,10.0,All,Sex,Male,Alzheimer's Disease/Dementia,0.0823,,,,
1946,State,Delaware,10.0,All,Sex,Female,Arthritis,0.3946,,,,
1949,State,Delaware,10.0,All,Sex,Male,Arthritis,0.2863,,,,
1959,State,Delaware,10.0,All,Sex,Female,Asthma,0.0677,,,,
1962,State,Delaware,10.0,All,Sex,Male,Asthma,0.0329,,,,
1972,State,Delaware,10.0,All,Sex,Female,Atrial Fibrillation,0.0791,,,,
1975,State,Delaware,10.0,All,Sex,Male,Atrial Fibrillation,0.1129,,,,
1985,State,Delaware,10.0,All,Sex,Female,Autism Spectrum Disorders,0.0015,,,,
1988,State,Delaware,10.0,All,Sex,Male,Autism Spectrum Disorders,0.0051,,,,
1998,State,Delaware,10.0,All,Sex,Female,COPD,0.104,,,,
2001,State,Delaware,10.0,All,Sex,Male,COPD,0.1065,,,,
2011,State,Delaware,10.0,All,Sex,Female,Cancer,0.0782,,,,
2014,State,Delaware,10.0,All,Sex,Male,Cancer,0.1075,,,,
2024,State,Delaware,10.0,All,Sex,Female,Chronic Kidney Disease,0.2275,,,,
2027,State,Delaware,10.0,All,Sex,Male,Chronic Kidney Disease,0.2829,,,,
2037,State,Delaware,10.0,All,Sex,Female,Depression,0.2197,,,,
2040,State,Delaware,10.0,All,Sex,Male,Depression,0.1319,,,,
2050,State,Delaware,10.0,All,Sex,Female,Diabetes,0.2629,,,,
2053,State,Delaware,10.0,All,Sex,Male,Diabetes,0.3197,,,,
2063,State,Delaware,10.0,All,Sex,Female,Drug/Substance Abuse,0.0399,,,,
2066,State,Delaware,10.0,All,Sex,Male,Drug/Substance Abuse,0.0407,,,,
2076,State,Delaware,10.0,All,Sex,Female,HIV/AIDS,0.0022,,,,
2079,State,Delaware,10.0,All,Sex,Male,HIV/AIDS,0.007,,,,
2089,State,Delaware,10.0,All,Sex,Female,Heart Failure,0.1047,,,,
2092,State,Delaware,10.0,All,Sex,Male,Heart Failure,0.1272,,,,
2102,State,Delaware,10.0,All,Sex,Female,Hepatitis (Chronic Viral B & C),0.0053,,,,
2105,State,Delaware,10.0,All,Sex,Male,Hepatitis (Chronic Viral B & C),0.0113,,,,
2115,State,Delaware,10.0,All,Sex,Female,Hyperlipidemia,0.6056,,,,
2118,State,Delaware,10.0,All,Sex,Male,Hyperlipidemia,0.6177,,,,
2128,State,Delaware,10.0,All,Sex,Female,Hypertension,0.6247,,,,
2131,State,Delaware,10.0,All,Sex,Male,Hypertension,0.6371,,,,
2141,State,Delaware,10.0,All,Sex,Female,Ischemic Heart Disease,0.2281,,,,
2144,State,Delaware,10.0,All,Sex,Male,Ischemic Heart Disease,0.3526,,,,
2154,State,Delaware,10.0,All,Sex,Female,Osteoporosis,0.0993,,,,
2157,State,Delaware,10.0,All,Sex,Male,Osteoporosis,0.0126,,,,
2167,State,Delaware,10.0,All,Sex,Female,Schizophrenia and Other Psychotic Disorders,0.0217,,,,
2170,State,Delaware,10.0,All,Sex,Male,Schizophrenia and Other Psychotic Disorders,0.0239,,,,
2180,State,Delaware,10.0,All,Sex,Female,Stroke,0.0462,,,,
